01K0KSNXGXSDTA3PMPJPGZR4NH,01K0HNNZ5ZH32TB2EPGAHS72DD,01K0KSG5EAHTXXP1KET5SBKC8Q,purchased,180,2025-07-20 11:32:03
01K0KSP3HR8ZPFFNB0X1M7NYX8,01K0HNNZ5ZH32TB2EPGAHS72DD,01K0KSG5EAHTXXP1KET5SBKC8Q,cancelled,180,2025-07-20 11:32:09
01K0KSPA5FFKCVW3KHGFG77VBP,01K0HNNZ5ZH32TB2EPGAHS72DD,01K0KSG5EAHTXXP1KET5SBKC8Q,purchased,180,2025-07-20 11:32:16
01K0KSPFFK7YGG6W77SH86MEX0,01K0HNNZ5ZH32TB2EPGAHS72DD,01K0KSFH08MST3CKC8JVX0X3E9,purchased,140,2025-07-20 11:32:22
01K0KSPN4D1RWNKE0TACVMMCJ3,01K0HNNZ5ZH32TB2EPGAHS72DD,01K0KSENQBATFWW1R1TTFJZC72,purchased,250,2025-07-20 11:32:27
01K0KSPT0P5722X5438FDDGH3X,01K0HNNZ5ZH32TB2EPGAHS72DD,01K0KSENQBATFWW1R1TTFJZC72,cancelled,250,2025-07-20 11:32:32
01K0KSPZGN6B5AF6CYN8KY6M4H,01K0HNNZ5ZH32TB2EPGAHS72DD,01K0KSE016HY7JG7CSZGNW27B8,purchased,100,2025-07-20 11:32:38
01K0KSQ4Q00AMS94JYQFW5ZWW1,01K0HNNZ5ZH32TB2EPGAHS72DD,01K0KSD2CCCARTERM23D6HYF9A,purchased,200,2025-07-20 11:32:43
01K0KSQ9BD1DXDQCVP9TCC1MFB,01K0HNNZ5ZH32TB2EPGAHS72DD,01K0KSCB0JW1NBBMF8BVDGH34M,purchased,150,2025-07-20 11:32:48
01K0KSQDJHTCSWGP51W3AST5X7,01K0HNNZ5ZH32TB2EPGAHS72DD,01K0KSCB0JW1NBBMF8BVDGH34M,purchased,150,2025-07-20 11:32:52
01K0KSQHJ3Y2J8MB2D32GPXT9N,01K0HNNZ5ZH32TB2EPGAHS72DD,01K0KSCB0JW1NBBMF8BVDGH34M,cancelled,150,2025-07-20 11:32:57
01K0KSQR249CPV2N1QACMWN2BY,01K0HNNZ5ZH32TB2EPGAHS72DD,01K0KSGSRV1BVW4MPG3A5R0K27,purchased,300,2025-07-20 11:33:03
